NAMA PERUMAHAN,STATUS,TOTAL HUNIAN,RADIUS,SITE,TERRITORY,TIPE PERUMAHAN,TIPE PLN,AREA PLN,GRADING,KOMPETITOR
AL AZHAR GREEN GARDEN,ACCEPTED,242,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
"BABAKAN AREA - JL. SALAK, DSK",ACCEPTED,243,OVER 200,KODYA BOGOR,KOTAMADYA,OPEN AREA,AERIAL,JABAR,B,INDIHOME
BEKASI TIMUR REGENCY 2 - CLUSTER BERYL,ACCEPTED,107,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
BEKASI TIMUR REGENCY 2 - CLUSTER CORUNDUM,ACCEPTED,96,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
BILLABONG PERMAI BLOK A,ACCEPTED,131,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BOGOR GADING RESIDENCE,ACCEPTED,152,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BOGOR NIRWANA RESIDENCE,ACCEPTED,1005,OVER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,UG,JABAR,B,INDIHOME
BOGOR RAYA RESIDENCE,ACCEPTED,478,OVER 200,KODYA BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BOJONG GEDE GREEN GARDEN,ACCEPTED,147,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUKIT AZ ZIKRA,ACCEPTED,492,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUKIT CILEBUT RESIDENCE,ACCEPTED,320,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
BUKIT CIMANGGU CITY - BALI,ACCEPTED,110,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,"INDIHOME, INNOVATE & MEGAVISION"
BUKIT CIMANGGU CITY - MOUNTAIN PARK VIEW,ACCEPTED,121,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,"INDIHOME, INNOVATE & MEGAVISION"
